intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status
metal_substitution,post_combustion_N2,298.0,0.075,absolute_log_difference,30,527,4585,0.03872874464246545,0.008884248983486276,0.07600326275683078,0.7333333333333333,above_control
metal_substitution,post_combustion_N2,298.0,0.075,standardized_absolute_difference,30,527,4585,0.3335508751458548,0.05796607351224918,1.5678386522753764,0.8,above_control
metal_substitution,post_combustion_N2,298.0,0.75,absolute_uptake_difference,30,527,4585,0.0105395,0.004857500000000008,0.03565674999999998,0.8666666666666667,above_control
metal_substitution,post_combustion_N2,298.0,0.75,absolute_log_difference,30,527,4585,0.04869018184943341,0.024002657602664235,0.08484003218884484,0.7666666666666667,above_control
metal_substitution,post_combustion_N2,298.0,0.75,standardized_absolute_difference,30,527,4585,0.32006180496150505,0.1475117621899061,1.2057017750213859,0.8666666666666667,above_control
metal_substitution,pre_combustion_CO2,313.0,0.4,absolute_uptake_difference,30,527,4585,0.05236124999999999,-0.013280750000000063,0.10971750000000008,0.6333333333333333,crosses_zero
metal_substitution,pre_combustion_CO2,313.0,0.4,absolute_log_difference,30,527,4585,0.031308466435085364,0.008554836967205576,0.06834308172472639,0.7,above_control
metal_substitution,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,30,527,4585,0.05002357492161609,-0.01268782912249529,0.1175172465808796,0.6333333333333333,crosses_zero
metal_substitution,pre_combustion_CO2,313.0,16.0,absolute_uptake_difference,30,527,4582,0.02701450000000022,-0.27471049999999986,0.1874459999999991,0.5,crosses_zero
metal_substitution,pre_combustion_CO2,313.0,16.0,absolute_log_difference,30,527,4582,0.007507019702712392,-0.0002938469691142198,0.025178097657370113,0.6666666666666666,crosses_zero
metal_substitution,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,30,527,4582,0.004478803071132049,-0.04554495663707306,0.03107715191735577,0.5,crosses_zero
metal_substitution,pre_combustion_H2,313.0,0.6,absolute_uptake_difference,30,527,4585,0.00041374999999999745,7.499999999971722e-07,0.0008242499999999969,0.6666666666666666,above_control
metal_substitution,pre_combustion_H2,313.0,0.6,absolute_log_difference,30,527,4585,0.01171159383269249,0.007116074459394328,0.07555854242731597,0.8666666666666667,above_control
metal_substitution,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,30,527,4585,0.014337700285778403,2.5989789037544203e-05,0.028562778152393668,0.6666666666666666,above_control
metal_substitution,pre_combustion_H2,313.0,24.0,absolute_uptake_difference,30,527,4582,-0.00014249999999976087,-0.009592499999999997,0.0041489999999999964,0.5,crosses_zero
metal_substitution,pre_combustion_H2,313.0,24.0,absolute_log_difference,30,527,4582,0.004131361462627964,-0.007722053231354407,0.040386059610200725,0.5666666666666667,crosses_zero
metal_substitution,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,30,527,4582,-0.0002662496312327515,-0.01792280412353999,0.007752068210431836,0.5,crosses_zero
